,paciente_chb10_10_mexh,paciente_chb10_10_morl,paciente_chb10_10_shan,paciente_chb10_30_mexh,paciente_chb10_30_morl,paciente_chb10_30_shan,paciente_chb11_10_mexh,paciente_chb11_10_morl,paciente_chb11_10_shan,paciente_chb11_30_mexh,paciente_chb11_30_morl,paciente_chb11_30_shan
loss,0.002434080932289362,2.2958543922868557e-05,0.0393756702542305,0.0003861549193970859,8.934567574669927e-08,0.0,0.04014098271727562,0.032117076218128204,0.06099425628781319,1.5101225017133402e-06,5.560455065278802e-06,6.277800679299617e-08
accuracy,1.0,1.0,0.9959514141082764,1.0,1.0,1.0,0.9959514141082764,0.9959514141082764,0.9838056564331055,1.0,1.0,1.0
tp,247.0,247.0,246.0,82.0,82.0,82.0,246.0,246.0,243.0,81.0,81.0,81.0
fp,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0
tn,494.0,494.0,493.0,164.0,164.0,164.0,493.0,493.0,490.0,162.0,162.0,162.0
fn,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0
f1_score,[1. 1. 1.],[1. 1. 1.],[1.         0.9885058  0.88888896],[1. 1. 1.],[1. 1. 0.],[1. 1. 0.],[1.         0.9876543  0.85714287],[1.       0.989011 0.8     ],[0.99497485 0.9777778  0.3333333 ],[1. 1. 0.],[1. 1. 0.],[1. 1. 0.]
categorical_crossentropy,0.00025574484607204795,4.072011506650597e-05,0.01518100406974554,1.979912121896632e-05,2.1806404504332022e-07,0.0,0.014421806670725346,0.011524970643222332,0.050250209867954254,2.6490567961445777e-06,1.066733238985762e-05,9.860512761861173e-08
precision,1.0,1.0,0.9959514141082764,1.0,1.0,1.0,0.9959514141082764,0.9959514141082764,0.9838056564331055,1.0,1.0,1.0
recall,1.0,1.0,0.9959514141082764,1.0,1.0,1.0,0.9959514141082764,0.9959514141082764,0.9838056564331055,1.0,1.0,1.0
auc,1.0,1.0,0.9999589920043945,1.0,1.0,1.0,0.9999753832817078,0.9999753832817078,0.9997991919517517,1.0,1.0,1.0
prc,1.0,1.0,0.9999184012413025,1.0,1.0,1.0,0.9999510645866394,0.9999510049819946,0.9996055364608765,1.0,1.0,1.0
val_loss,1.327716588973999,0.7403365969657898,0.4200144112110138,0.1605125069618225,0.1084187775850296,0.5676119327545166,1.369779348373413,0.6889264583587646,0.40747228264808655,1.274567723274231,0.05367238074541092,0.09926211088895798
val_accuracy,0.822429895401001,0.8504672646522522,0.9439252614974976,0.9166666865348816,0.9722222089767456,0.8888888955116272,0.7735849022865295,0.849056601524353,0.9056603908538818,0.8333333134651184,0.9722222089767456,0.9722222089767456
val_tp,88.0,91.0,101.0,33.0,35.0,32.0,82.0,90.0,96.0,30.0,35.0,34.0
val_fp,19.0,16.0,6.0,3.0,1.0,4.0,23.0,15.0,10.0,6.0,1.0,1.0
val_tn,195.0,198.0,208.0,69.0,71.0,68.0,189.0,197.0,202.0,66.0,71.0,71.0
val_fn,19.0,16.0,6.0,3.0,1.0,4.0,24.0,16.0,10.0,6.0,1.0,2.0
val_f1_score,[0.9039548  0.38709676 0.6666667 ],[0.9047619 0.6511628 0.6666667],[0.96629214 0.8125     1.        ],[0.95238096 0.5714286  1.        ],[0.98039216 0.94117653 1.        ],[0.9491525 0.6       0.6666667],[0.86666673 0.20689656 0.6666667 ],[0.9152543  0.5517242  0.33333334],[0.9431818 0.7333333 0.6666667],[0.8888889 0.625     1.       ],[0.9830508  0.90909094 1.        ],[0.9824561 0.9230769 1.       ]
val_categorical_crossentropy,1.327716588973999,0.7403365969657898,0.4200144112110138,0.1605125069618225,0.1084187775850296,0.5676119327545166,1.369779348373413,0.6889264583587646,0.40747228264808655,1.274567723274231,0.05367238074541092,0.09926211088895798
val_precision,0.822429895401001,0.8504672646522522,0.9439252614974976,0.9166666865348816,0.9722222089767456,0.8888888955116272,0.7809523940086365,0.8571428656578064,0.9056603908538818,0.8333333134651184,0.9722222089767456,0.9714285731315613
val_recall,0.822429895401001,0.8504672646522522,0.9439252614974976,0.9166666865348816,0.9722222089767456,0.8888888955116272,0.7735849022865295,0.849056601524353,0.9056603908538818,0.8333333134651184,0.9722222089767456,0.9444444179534912
val_auc,0.9065421223640442,0.9456284642219543,0.9751070737838745,0.9965277910232544,0.9996141791343689,0.9745369553565979,0.8865476250648499,0.9469116926193237,0.9643779397010803,0.899305522441864,0.9996141791343689,0.9976851940155029
val_prc,0.8281745910644531,0.8956125378608704,0.9518216848373413,0.9933297634124756,0.999238908290863,0.9509152173995972,0.7934744954109192,0.9087247848510742,0.9364970922470093,0.8105282187461853,0.9992389678955078,0.9955992102622986
